date,place,anti_air,bunkers,ammunition_storage,apc,artillery,comms,other_armoured,other_building,other_missile,other_vehicle,helicopter,aa_gun,rocket_launcher,sams,tanks,garage,others,total
Date,Place,Air defence missile site/anti-aircraft facility,Bunkers,Ammunition storage sites,Armoured Personnel Carrier,Artillery vehicles / Self propelled artillery piece,Communications or Command & Control Facility / Radar,Other armoured vehicle,Other building,Other missile,Other vehicle,Helicopter,Anti Aircraft Gun,Rocket launcher,Surface to air missile launcher or facility ,Tanks,Vehicle storage building,OTHER,TOTAL 
11/04/2011,Sirte,,,1,,,,,,,,,,,,,,,1
11/04/2011,Zintan,,,,,,,,,,,,,,,4,,,4
12/04/2011,Misrata,,,,,,,,,,,,,,,12,,,12
12/04/2011,Sirte,,,,,,,,,,,,1,,,4,,,5
13/04/2011,Brega,,,,,,,,,,,,,3,,,,,3
13/04/2011,Tripoli,,13,,1,,,,,,,,,,,1,,,15
14/04/2011,Misrata,,3,,,,,,,,,1,,,,,,,4
14/04/2011,Sirte,,8,4,2,,,,,,,,,,,,,,14
14/04/2011,Tripoli,,,2,,,1,,,,,,,,,1,,,4
14/04/2011,Tunisian Border,,,,,,1,,,1,,,,,,,,,2
16/04/2011,Misrata,,,,1,,,,,,,,,,,,,,1
16/04/2011,Sirte,,,5,,,,,,,3,,,,,2,,1,11
16/04/2011,Tripoli,,,2,,,,,,,,,,,1,,,,3
16/04/2011,Zintan,,,1,,,,,,,,,,,,,,,1
17/04/2011,Misrata,,,,,,4,,,,,,,,,,,,4
17/04/2011,Sirte,,,1,,,,,2,,,,,,,,,,3
17/04/2011,Tripoli,,,7,,,,,,,,,,,,,,,7
17/04/2011,Zintan,1,,1,,,,,,,,,,4,,,,,6
18/04/2011,Brega,,,,,,,,1,,,,,,,,,,1
18/04/2011,Misrata,3,,,,,,,,6,,,,1,,4,,,14
18/04/2011,Sirte,,,3,,,,,,,,,,,,,,,3
18/04/2011,Tripoli,,,9,,,,,1,,,,,,,,,,10
