Place	County	Nearby Town	Size(acres)	Littoral zone(acres)	Max depth(ft)	Water Clarity(ft)	State	Country
Lake Aaron	Douglas	Millerville	545	417	16	8	Minnesota	US
Lake Abbey	Becker	Detroit Lakes	269	269	7	N/A	Minnesota	US
Lake Acorn	Becker	Frazee	154	N/A	N/A	N/A	Minnesota	US
Lake Ada	Cass	Backus	974	424	60	15	Minnesota	US
Lake Adley	Otter Tail	Parkers Prairie	239	238	20	2.6	Minnesota	US
Lake Aitkin	Aitkin	Libby	487	453	35	6.3	Minnesota	US
Lake Albert Lea	Freeborn	Albert Lea	2654	2654	6	1	Minnesota	US
Lake Alice	Hubbard	Lake George	121	96	21	6.5	Minnesota	US
Lake Allie	Renville	Buffalo Lake	451	451	12	1.5	Minnesota	US
Lake Amelia	Pope	Villard	910	370	69	9.5	Minnesota	US
Lake Amen	Itasca	Deer River	198	107	75	11	Minnesota	US
Lake Anderson	Itasca	Bigfork	274	71	110	9	Minnesota	US
Lake Andrew	Douglas	Alexandria	946	331	83	11.5	Minnesota	US
Lake Andrew	Kandiyohi	New London	814	293	26	13.7	Minnesota	US
Lake Andrusia	Beltrami	Cass Lake	1510	423	60	10	Minnesota	US
Lake Ann	Kanabec	Ogilve	653	600	17	3.2	Minnesota	US
Lake Ann	Pope	Glenwood	356	356	14	6.4	Minnesota	US
Lake Ann	Sherburne	Zimmerman	184	138	26	11.5	Minnesota	US
Lake Anna	Crow Wing	Emily	122	102	19	12	Minnesota	US
Lake Anna	Otter Tail	Underwood	538	373	55	5.6	Minnesota	US
Lake Annie Battle	Otter Tail	Battle Lake	334	150	51	14.5	Minnesota	US
Lake Antler	Itasca	Bigfork	306	76.5	90	17	Minnesota	US
Lake Armstrong	St. Louis	Ely	389	102	34	9	Minnesota	US
Lake Artichoke	Big Stone	Correll	1964	1964	15.5	3.3	Minnesota	US
Lake Ash	St. Louis	Orr	669	195	25	8	Minnesota	US
Lake Auburn	Carver	Victoria	261	158	37	7.9	Minnesota	US
Lake Augusta	Cottonwood	Storden	470	470	4	1	Minnesota	US
Lake Baby	Cass	Hackensack	705	248	69	10.2	Minnesota	US
Lake Bad Axe	Hubbard	Emmaville	271	125	39	17	Minnesota	US
Lake Bad Medicine	Becker	Ponsford	799	288	84	32	Minnesota	US
Lake Badger	Polk	Erskine	353	342	19	19	Minnesota	US
Lake Bagley	Clearwater	Leonard	94	50	39	n/a	Minnesota	US
Lake Bald Eagle	Ramsey	White Bear Lake	1268	751	36	2.6	Minnesota	US
Lake Ball Club	Cook	Grand Marais	196	159	25	9	Minnesota	US
Lake Ball Club	Itasca	Ball Club (Unincorporated Village)	3936	984	85	12	Minnesota	US
Lake Ballantyne	Blue Earth	Madison Lake	350	301	58	3	Minnesota	US
Lake Balm	Beltrami	Solway	512	282	33	11	Minnesota	US
Lake Balsam	Itasca	Taconite	710	296	37	11	Minnesota	US
Lake Ban	St. Louis	Orr	380	380	10	5	Minnesota	US
