name,place,county,state,country
Lake Aaron, Douglas, Millerville, Minnesota, US
Lake Abbey, Becker, Detroit Lakes, Minnesota, US
Lake Acorn, Becker, Frazee, Minnesota, US
Lake Ada, Cass, BackUS Minnesota, US
Lake Adley, Otter Tail, Parkers Prairie, Minnesota, US
Lake Aitkin, Aitkin, Libby, Minnesota, US
Lake Albert Lea, Freeborn, Albert Lea, Minnesota, US
Lake Alice, Hubbard, Lake George, Minnesota, US
Lake Allie, Renville, Buffalo Lake, Minnesota, US
Lake Amelia, Pope, Villard, Minnesota, US
Lake Amen, Itasca, Deer River, Minnesota, 	US
Lake Anderson, Itasca, Bigfork, Minnesota, US
Lake Andrew, Douglas, Alexandria, Minnesota, US
Lake Andrew, Kandiyohi, New London, Minnesota, US
Lake Andrusia, Beltrami, Cass Lake, Minnesota, US
Lake Ann, Kanabec, Ogilve, Minnesota, US
Lake Ann, Pope, Glenwood, Minnesota, US
Lake Ann, Sherburne, Zimmerman, Minnesota, US
Lake Anna, Crow Wing, Emily, Minnesota, US
Lake Anna, Otter Tail, Underwood, Minnesota, US
Lake Annie Battle, Otter Tail, Battle Lake, Minnesota, US
Lake Antler, Itasca, Bigfork, Minnesota, US
Lake Armstrong, St. Louis, Ely, Minnesota, US
Lake Artichoke, Big Stone, Correll, Minnesota, US
Lake Ash, St. Louis, Orr, Minnesota, US
Lake Auburn, Carver, Victoria, Minnesota, US
Lake Augusta, Cottonwood, Storden, Minnesota, US
Lake Baby, Cass, Hackensack, Minnesota, US
Lake Bad Axe, Hubbard, Emmaville, Minnesota, US
Lake Bad Medicine, Becker, Ponsford, Minnesota, US
Lake Badger, Polk, Erskine, Minnesota, US
Lake Bagley, Clearwater, Leonard, Minnesota, US
Lake Bald Eagle, Ramsey, White Bear Lake, Minnesota, US
Lake Ball Club, Cook, Grand Marais, Minnesota, US
Lake Ball Club, Itasca, Ball Club (Unincorporated Village), Minnesota, US
Lake Ballantyne, Blue Earth, Madison Lake, Minnesota, US
Lake Balm, Beltrami, Solway, Minnesota, US
Lake Balsam, Itasca, Taconite, Minnesota, US
Lake Ban, St. Louis, Orr, Minnesota, US
Lake Barrett, Grant, Barrett, Minnesota, US
Lake Bartlett, Koochiching, Northome, Minnesota, US
Lake Bass (Big), Beltrami, Bemidji, Minnesota, US
Lake Bass (Little), Beltrami, Bemidji, Minnesota, US
Lake Bass, Crow Wing, Merrifield, Minnesota, US
Lake Bass, Faribault, Delavan, Minnesota, US
Lake Bass, Itasca, Cohasset, Minnesota, US
Lake Bass, Mahnomen, Waubun, Minnesota, US
Lake Bass, Otter Tail, Underwood, Minnesota, US
Lake Bass, Pine, Finlayson, Minnesota, US
Lake Bass, St. Louis, Soudan (unincorporated town), Minnesota, US
Lake Bassett, St. Louis, Fairbanks, Minnesota, US
Lake Battle, Otter Tail, Effie, Minnesota, US
Lake Bavaria, Carver, Victoria, Minnesota, US
Lake Bay, Crow Wing, Deerwood, Minnesota, US
Lake Bear, Carlton, Barn Lake Area, Minnesota, US
Lake Bear, Freeborn, Twin Lakes, Minnesota, US
Lake Bear, Itasca, Nashwauk, Minnesota, US
Lake Bear, Otter Tail, Perham, Minnesota, US
Lake Bear Island, St. Louis, Babbit, Minnesota, US
Lake Bearhead, St. Louis, Tower, Minnesota, US
Lake Beauty, Itasca, Goodland, Minnesota, US
Lake Beauty, Todd, Long Prairie, Minnesota, US
Lake Beers, Otter Tail, Pelican Rapids, Minnesota, US
Lake Belle, Meeker, Hutchinson, Minnesota, US
Lake Belle Taine, Hubbard, Nevis, Minnesota, US
Lake Bello, Itasca, Marcell, Minnesota, US
Lake Belmont, Otter Tail, Clitherall, Minnesota, US
Lake Beltrami, Beltrami, Bemidji, Minnesota, US
Lake Bemidji, Beltrami, Bemidji, Minnesota, US
Lake Benedict, Hubbard, Benedict, Minnesota, US
Lake Benton, Lincoln, Lake Benton, Minnesota, US
Lake Berg, St. Louis, Melrude, Minnesota, US
Lake Bertha, Crow Wing, Jenkins, Minnesota, US
Lake Beseau, Becker, Lake Park, Minnesota, US
Lake Big, Beltrami, Bemidji, Minnesota, US
Lake Big, Carlton, Sawyer, Minnesota, US
Lake Big, St. Louis, Ely, Minnesota, US
Lake Big, St. Louis, Hoyt Lakes, Minnesota, US
Lake Big, Sherburne, Big Lake, Minnesota, US
Lake Big, Stearns, Richmond, Minnesota, US
Lake Big, Todd, Cushing, Minnesota, US
Lake Big Carnelian, Washington, Stillwater, Minnesota, US
Lake Big Diamond, Itasca, Marble, Minnesota, US
Lake Big Dick, Itasca, Marcell, Minnesota, US
Lake Big Fish, Stearns, Cold Spring, Minnesota, US
Lake Big Island, Itasca, Marcell, Minnesota, US
Lake Big Kandiyohi, Kandiyohi, Lake Lillian, Minnesota, US
Lake Big Marine, Washington, Forest Lake, Minnesota, US
Lake Big McDonald 2, Otter Tail, Dent, Minnesota, US
Lake Big Moose, Beltrami, Pennington, Minnesota, US
Lake Big Moose, St. Louis, Ely, Minnesota, US
Lake Big Ole, Itasca, Marcell, Minnesota, US
Lake Big Pine, Pine, Finlayson, Minnesota, US
Lake Big Portage, Cass, BackUS Minnesota, US
Lake Big Rabbit (East), Crow Wing, Cuyuna, Minnesota, US
Lake Big Rabbit (West), Crow Wing, Cuyuna, Minnesota, US
Lake Big Rice, Cass, Remer, Minnesota, US
Lake Big Rice, St. Louis, Ely, Minnesota, US
Lake Big Rush, Becker, Ponsford, Minnesota, US
Lake Big Sand, Hubbard, Park Rapids, Minnesota, US
Lake Big Sandy, Aitkin, McGregor, Minnesota, US
Lake Big Spunk, Stearns, Avon, Minnesota, US
Lake Big Stone, Big Stone, Ortonville, Minnesota, US
Lake Big Stoney, Hubbard, Park Rapids, Minnesota, US
Lake Big Sucker, Itasca, Nashwauk, Minnesota, US
Lake Big Swan, Meeker, Kingston, Minnesota, US
Lake Big Swan, Todd, Burtrum, Minnesota, US
Lake Big Too Much, Itasca, Talmoon, Minnesota, US
Lake Big Trout, Crow Wing, Cross Lake, Minnesota, US
Lake Big Watab, Stearns, Avon, Minnesota, US
Lake Big Wolf, Beltrami, Bemidji, Minnesota, US
Lake Bingham, Cottonwood, Bingham Lake, Minnesota, US
Lake Birch, Aitkin, Aitkin, Minnesota, US
Lake Birch, Becker, Callaway, Minnesota, US
Lake Birch, Cass, Hackensack, Minnesota, US
Lake Birch, Cass, Remer, Minnesota, US
Lake Birch, Lake, Ely, Minnesota, US
Lake Birch, Sherburne, Big Lake, Minnesota, US
Lake Birch, St. Louis, Babbit, Minnesota, US
Lake Birch (Big), Todd, Grey Eagle, Minnesota, US
Lake Birch (Little), Todd, Grey Eagle, Minnesota, US
Lake Black, Beltrami, Turtle River, Minnesota, US
Lake Blackduck, Beltrami, Blackduck, Minnesota, US
Lake Blackduck, St. Louis, Orr, Minnesota, US
Lake Blackwater, Cass, Longville, Minnesota, US
Lake Blackwater, Itasca, Cohasset, Minnesota, US
Lake Blackwell, Douglas, Holmes City, Minnesota, US
Lake Blanche, Otter Tail, Ottertail, Minnesota, US
Lake Blandin, Itasca, Grand Rapids, Minnesota, US
Lake Blind, Aitkin, Aitkin, Minnesota, US
Lake Block, Otter Tail, Urbank, Minnesota, US
Lake Bloody, Murray, Currie, Minnesota, US
Lake Blue, Hubbard, Park Rapids, Minnesota, US
Lake Blue, Isanti, Princeton, Minnesota, US
Lake Blueberry, Wadena, Menahga, Minnesota, US
Lake Bluewater, Itasca, Grand Rapids, Minnesota, US
Lake Boedigheimer, Otter Tail, Richville, Minnesota, US
Lake Bone, Washington, Forest Lake, Minnesota, US
Lake Boot, Becker, Two Inlets, Minnesota, US
Lake Boot, Beltrami, Bemidji, Minnesota, US
Lake Borden, Crow Wing, Garrison, Minnesota, US
Lake Bouder, Cook, Grand Marais, Minnesota, US
Lake Boulder, Hubbard, Dorset, Minnesota, US
Lake Bowstring, Itasca, Deer River, Minnesota, US
Lake Boy, Cass, Boy River, Minnesota, US
Lake Boyer, Becker, Lake Park, Minnesota, US
Lake Briggs, Sherburne, Clear Lake, Minnesota, US
Lake Brophy, Douglas, Alexandria, Minnesota, US
Lake Browns, Lake, Ely, Minnesota, US
Lake Brule, Cook, Grand Marais, Minnesota, US
Lake Bryant, Hennepin, Eden Prairie, Minnesota, US
Lake Buchanan, Otter Tail, Ottertail, Minnesota, US
Lake Buck, Beltrami, Cass Lake, Minnesota, US
Lake Buck, Itasca, Nashwauk, Minnesota, US
Lake Buffalo, Becker, Richwood, Minnesota, US
Lake Buffalo, Murray, Dovray, Minnesota, US
Lake Burnt Shanty, Itasca, Marcell, Minnesota, US
Lake Burntside, St. Louis, Tower, Minnesota, US
Lake Burrows, Itasca, Marcell, Minnesota, US
Lake Bush, Hennepin, Bloomington, Minnesota, US
Lake Busties, Itasca, Holyoke, Minnesota, US
Lake Button Box, Itasca, Togo, Minnesota, US
Lake Byllesby, Dakota, Cannon Falls, Minnesota, US
Lake Cadotte, St. Louis, Fairbanks, Minnesota, US
Lake Calhoun, Hennepin, Minneapolis, Minnesota, US
Lake Calhoun, Kandiyohi, Spicer, Minnesota, US
Lake Cameron, Polk, Erskine, Minnesota, US
Lake Cameron, St. Louis, Cotton, Minnesota, US
Lake Camp, Crow Wing, Pine Center, Minnesota, US
Lake Camp, Swift, Swift Falls, Minnesota, US
Lake Campbell, Beltrami, Puposky, Minnesota, US
Lake Cannon, Rice, Faribault, Minnesota, US
Lake Carey, St. Louis, Hibbing, Minnesota, US
Lake Caribou, Cook, Lutsen, Minnesota, US
Lake Caribou, Cook, Grand Marais, Minnesota, US
Lake Caribou, Itasca, Marcell, Minnesota, US
Lake Carlos, Douglas, Alexandria, Minnesota, US
Lake Cascade, Cook, Lutsen, Minnesota, US
Lake Cass, Beltrami, Cass Lake, Minnesota, US
Lake Cedar, Aitkin, McGrath, Minnesota, US
Lake Cedar, Aitkin, Aitkin, Minnesota, US
Lake Cedar, Hennepin, Minneapolis, Minnesota, US
Lake Cedar, McLeod, Cedar Mills, Minnesota, US
Lake Cedar, Rice, Faribault, Minnesota, US
Lake Cedar, Scott, New Prague, Minnesota, US
Lake Cedar Island, St. Louis, Biwabik, Minnesota, US
Lake Cedar Island, Stearns, Richmond, Minnesota, US
Lake Center (North), Chisago, Center City, Minnesota, US
Lake Center (South), Chisago, Lindstrom, Minnesota, US
Lake Centerville, Anoka, Centerville, Minnesota, US
Lake Chase, Itasca, Deer River, Minnesota, US
Lake Child, Cass, Longville, Minnesota, US
Lake Chippewa (Big), Douglas, Brandon, Minnesota, US
Lake Chippewa (Little), Douglas, Brandon, Minnesota, US
Lake Chisago City, Chisago, Chisago, Minnesota, US
Lake Christina, Douglas, Ashby, Minnesota, US
Lake Christmas, Hennepin, Eden Prairie, Minnesota, US
Lake Chub, Carlton, Carlton, Minnesota, US
Lake Chub, Dakota, Farmington, Minnesota, US
Lake Chub, St. Louis, Ash Lake, Minnesota, US
Lake Church, Mahnomen, Mahnomen, Minnesota, US
Lake Circle, Rice, Lonsdale, Minnesota, US
Lake Clear, Aitkin, Glen, Minnesota, US
Lake Clear, Crow Wing, Jenkins, Minnesota, US
Lake Clear, Goodhue, Hastings, Minnesota, US
Lake Clear, Jackson, Jackson, Minnesota, US
Lake Clear, Lesueur, Lexington, Minnesota, US
Lake Clear, Meeker, Watkins, Minnesota, US
Lake Clear, Otter Tail, Dalton, Minnesota, US
Lake Clear, Sibley, Gibbon, Minnesota, US
Lake Clear, St. Louis, Ely, Minnesota, US
Lake Clear, St. Louis, Buhl, Minnesota, US
Lake Clear, Waseca, Waseca, Minnesota, US
Lake Clear, Washington, Forest Lake, Minnesota, US
Lake Clearwater, Beltrami, Leonard, Minnesota, US
Lake Clearwater, Crow Wing, Deerwood, Minnesota, US
Lake Clitherall, Otter Tail, Dalton, Minnesota, US
Lake Clubhouse, Itasca, Marcell, Minnesota, US
Lake Cody, Rice, Montgomery, Minnesota, US
Lake Colby, St. Louis, Hoyt Lakes, Minnesota, US
Lake Comfort, Chisago, Wyoming, Minnesota, US
Lake Como, Ramsey, St. Paul, Minnesota, US
Lake Comstock, St. Louis, Whiteface, Minnesota, US
Lake Coon, Anoka, Soderville, Minnesota, US
Lake Coon, Itasca, Big Fork, Minnesota, US
Lake Cormorant (Big), Becker, Audubon, Minnesota, US
Lake Cormorant (Little), Becker, Audubon, Minnesota, US
Lake Cotton, Becker, Rochert, Minnesota, US
Lake Cottonwood, Grant, Donnelly, Minnesota, US
Lake Cottonwood, Lyon, Cottonwood, Minnesota, US
Lake Cowdry, Douglas, Alexandria, Minnesota, US
Lake Crane, Otter Tail, Battle Lake, Minnesota, US
Lake Crane, St. Louis, Crane Lake, Minnesota, US
Lake Crawford, Wright, Montrose, Minnesota, US
Lake Crescent, Cook, Grand Marais, Minnesota, US
Lake Crooked, Itasca, Marble, Minnesota, US
Lake Cross, Crow Wing, Cross Lake, Minnesota, US
Lake Cross, Pine, Pine City, Minnesota, US
Lake Cross, Polk, Fosston, Minnesota, US
Lake Crow Wing, Crow Wing, Ft Ripley, Minnesota, US
Lake Cruiser, St. Louis, Ray, Minnesota, US
Lake Crystal, Dakota, Burnsville, Minnesota, US
Lake Crystal, Otter Tail, Pelican Rapids, Minnesota, US
Lake Crystal, Stevens, Morris, Minnesota, US
Lake Cullen (Lower), Crow Wing, Nisswa, Minnesota, US
Lake Cullen (Middle), Crow Wing, Nisswa, Minnesota, US
Lake Cullen (Upper), Crow Wing, Nisswa, Minnesota, US
Lake Currant, Murray, Balaton, Minnesota, US
Lake Cut Foot Sioux, Itasca, Squaw Lake, Minnesota, US
Lake Cutaway, Itasca, Bovey, Minnesota, US
Lake Dago, Pine, Willow River, Minnesota, US
Lake Dam, Aitkin, Aitkin, Minnesota, US
Lake Dark, St. Louis, Buhl, Minnesota, US
Lake Darling, Douglas, Alexandria, Minnesota, US
Lake Dead, Becker, Frazee, Minnesota, US
Lake Dead, Hubbard, Dorset, Minnesota, US
Lake Dead, Otter Tail, Dent, Minnesota, US
Lake Dead Coon, Lincoln, Arco, Minnesota, US
Lake Dean, Wright, Buffalo, Minnesota, US
Lake Deer, Beltrami, Bemidji, Minnesota, US
Lake Deer, Itasca, Deer River, Minnesota, US
Lake Deer, Itasca, Effie, Minnesota, US
Lake Deer, Otter Tail, Battle Lake, Minnesota, US
Lake Deer, Wright, Buffalo, Minnesota, US
Lake Demontreville, Washington, Lake Elmo, Minnesota, US
Lake Detroit, Becker, Detroit Lakes, Minnesota, US
Lake Devil Track, Cook, Grand Marais, Minnesota, US
Lake Devils, Douglas, Brandon, Minnesota, US
Lake Devils, Otter Tail, Perham, Minnesota, US
Lake Dewey, St. Louis, Chisholm, Minnesota, US
Lake Diamond, Hennepin, Rogers, Minnesota, US
Lake Diamond, Kandiyohi, Atwater, Minnesota, US
Lake Dinham, St. Louis, Melrude, Minnesota, US
Lake Dixon, Itasca, Squaw Lake, Minnesota, US
Lake Dolney, Crow Wing, Emily, Minnesota, US
Lake Dora, Itasca, Wirt, Minnesota, US
Lake Doran, Clay, Hawley, Minnesota, US
Lake Double, Cottonwood, Storden, Minnesota, US
Lake Dovre, St. Louis, Crane Lake, Minnesota, US
Lake Duck, Hubbard, Hubbard, Minnesota, US
Lake Dumbbell, Lake, Isabella, Minnesota, US
Lake Dunbar, Itasca, Squaw Lake, Minnesota, US
Lake Dutch, Hennepin, Mound, Minnesota, US
Lake Dutch, Wright, Howard Lake, Minnesota, US
Lake Eagle, Becker, Frazee, Minnesota, US
Lake Eagle, Blue Earth, Madison Lake, Minnesota, US
Lake Eagle, Crow Wing, Deerwood, Minnesota, US
Lake Eagle, Crow Wing, Fifty Lakes, Minnesota, US
Lake Eagle, Hennepin, Maple Grove, Minnesota, US
Lake Eagle, Hubbard, Park Rapids, Minnesota, US
Lake Eagle, Itasca, Marcell, Minnesota, US
Lake Eagle, Kandiyohi, Willmar, Minnesota, US
Lake Eagle, Otter Tail, Battle Lake, Minnesota, US
Lake Eagle, Sherburne, Big Lake, Minnesota, US
Lake Eagle, Wright, Maple Lake, Minnesota, US
Lake Eagles Nest 1, St. Louis, Ely, Minnesota, US
Lake Eagles Nest 2, St. Louis, Ely, Minnesota, US
Lake Eagles Nest 3, St. Louis, Soudan, Minnesota, US
Lake Eagles Nest 4, St. Louis, Ely, Minnesota, US
Lake East Battle, Otter Tail, Henning, Minnesota, US
Lake East Chub, Lake, Isabella, Minnesota, US
Lake East Crooked, Hubbard, Nevis, Minnesota, US
Lake East Jefferson, Lesueur, Cleveland, Minnesota, US
Lake East Leaf, Otter Tail, Henning, Minnesota, US
Lake East Lost, Otter Tail, Battle Lake, Minnesota, US
Lake East Side, Mower, Austin, Minnesota, US
Lake East Silent, Otter Tail, Dent, Minnesota, US
Lake East Soloman, Kandiyohi, Willmar, Minnesota, US
Lake East Twin, Lyon, Florence, Minnesota, US
Lake Eden, Stearns, Eden Valley, Minnesota, US
Lake Edward, Crow Wing, Merrifield, Minnesota, US
Lake Eighth Crow Wing, Hubbard, Nevis, Minnesota, US
Lake Elbow, Becker, Waubun, Minnesota, US
Lake Elbow, Cook, Grand Marais, Minnesota, US
Lake Elbow, Cook, Tofte, Minnesota, US
Lake Elbow, Otter Tail, Battle Lake, Minnesota, US
Lake Elbow, Pine, Finlayson, Minnesota, US
Lake Elbow, St. Louis, Orr, Minnesota, US
Lake Elbow, St. Louis, Iron Junction, Minnesota, US
Lake Elephant, St. Louis, Orr, Minnesota, US
Lake Eleven, Kanabec, Kroschel, Minnesota, US
Lake Eleven, Pine, Sturgeon Lake, Minnesota, US
Lake Eleventh Crow Wing, Hubbard, Akeley, Minnesota, US
Lake Elizabeth, Kandiyohi, Atwater, Minnesota, US
Lake Elk, Clearwater, Lake Itasca, Minnesota, US
Lake Elk, Grant, Hoffman, Minnesota, US
