RecType,AlphaInd,LaCode,EstabCode,SchoolName,Address1,Address2,Address3,Town,PostCode,TelNum,FlagCont,SchoolType,AgeRange,FlagConf,TotPup,TotSENssap,PSENssap,TotSENsa,PSENsa,TotPup11,TotElig,TotEligSENssap,PEligSENssap,TotEligSENsa,PEligSENsa,PEngTestL4p,PEngTestL5,PEngTestNA,PMatTestL4p,PMatTestL5,PMatTestNA,PEngmatTestL4p,ApsEngmatTest,ApsEngmatTest07,ApsEngmatTest08,ApsEngmatTest09,ApsEngmatTest10,PEngmatTestL4p08,PEngmatTestL4p09,PEngmatTestL4p10,PEngTaL4p,PMatTaL4p,PSciTaL4p,PEngTaL5,PMatTaL5,PSciTaL5,PEngTaAd,PMatTaAd,PSciTaAd,CvaMea,CvaCov,CvaLconf,CvaUconf,PProgEng2p,ProgEngCov,PProgMat2p,ProgMatCov,FlagKs4,FlagKs5,LaCov,PAbsTot,PAbsUa,PAbsPa,FlagAbs
1,788,846,3328,Aldrington CofE Primary School,Eridge Road,,,Hove,BN3 7QD,01273 542656,1,VA,"""4-11""",,214,22,10.3%,7,3.3%,30,30,3,10.0%,3,10.0%,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,29.6,30.4,28.6,NA,97%,83%,NA,93%,87%,90%,40%,63%,60%,0%,0%,0%,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,0,0,,4.6%,ABSLOW,0.0%,0
1,3034,846,2000,Balfour Junior School,Balfour Road,,,Brighton,BN1 6NE,01273 553521,0,CY,"""7-11""",R,422,18,4.3%,22,5.2%,98,98,2,2.0%,4,4.1%,96%,56%,1%,90%,42%,1%,90%,29.6,29.4,29.7,28.5,29.6,95%,81%,90%,95%,95%,97%,55%,60%,54%,0%,0%,0%,99.8,98%,99.3,100.2,90%,99%,84%,98%,0,0,,4.3%,0.2%,0.7%,1
1,4392,846,2080,Benfield Junior School,255 Old Shoreham Road,Portslade,,Brighton,BN41 1XS,01273 294950,0,CY,"""7-11""",,246,29,11.8%,57,23.2%,81,81,5,6.2%,18,22.2%,77%,31%,0%,74%,28%,0%,68%,27.0,26.7,26.9,25.8,27.0,65%,58%,68%,69%,77%,81%,17%,19%,25%,1%,1%,1%,99.8,89%,99.3,100.3,78%,90%,77%,90%,0,0,,5.7%,0.7%,2.8%,0
1,4616,846,2163,Bevendean Primary School,Heath Hill Avenue,Lower Bevendean,,Brighton,BN2 4JP,01273 681292,0,CY,"""3-11""",,395,70,17.7%,57,14.4%,57,58,9,15.5%,14,24.1%,66%,14%,0%,69%,19%,2%,59%,25.7,26.3,27.4,25.8,25.7,67%,59%,59%,81%,78%,88%,24%,28%,33%,0%,0%,0%,101.0,98%,100.4,101.5,96%,93%,82%,98%,0,0,,7.3%,1.6%,2.9%,0
1,8616,846,2001,Carden Primary School,County Oak Avenue,,,Brighton,BN1 8LU,01273 293677,1,CY,"""3-11""",R,424,111,26.2%,93,21.9%,57,56,18,32.1%,14,25.0%,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,24.5,26.3,27.8,NA,68%,75%,NA,75%,77%,73%,30%,34%,29%,0%,0%,0%,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,0,0,,6.3%,0.4%,2.2%,0
1,8706,846,2037,Carlton Hill Primary School,Sussex Street,,,Brighton,BN2 9HS,01273 604966,1,CY,"""4-11""",,191,47,24.6%,43,22.5%,26,29,7,24.1%,11,37.9%,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,25.3,29.0,27.3,NA,92%,63%,NA,69%,69%,76%,34%,14%,41%,0%,0%,0%,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,0,0,,6.4%,1.2%,2.2%,0
1,11280,846,2044,Coldean Primary School,Kenwards,Coldean,,Brighton,BN1 9EN,01273 294914,1,CY,"""3-11""",,297,53,17.8%,41,13.8%,42,41,10,24.4%,3,7.3%,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,24.5,25.3,26.6,NA,54%,68%,NA,80%,83%,83%,32%,17%,20%,0%,0%,0%,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,0,0,,7.9%,1.2%,5.5%,0
1,11718,846,2007,Coombe Road Primary School,Coombe Road,,,Brighton,BN2 4ED,01273 707878,1,CY,"""4-11""",,286,38,13.3%,107,37.4%,25,24,2,8.3%,15,62.5%,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,24.9,24.9,26.3,NA,61%,57%,NA,71%,58%,71%,21%,33%,17%,0%,0%,0%,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,BOYC,0,0,,6.9%,1.1%,1.9%,1
1,12084,846,3341,Cottesmore St Mary's Catholic Primary School,The Upper Drive,,,Hove,BN3 6NB,01273 555811,0,VA,"""5-11""",R,436,31,7.1%,8,1.8%,64,64,3,4.7%,0,0.0%,94%,34%,0%,86%,52%,0%,84%,29.0,29.7,29.1,29.5,29.0,84%,94%,84%,94%,84%,86%,55%,48%,47%,0%,0%,0%,99.5,97%,99.0,100.1,77%,97%,87%,97%,0,0,,4.0%,ABSLOW,0.0%,0
1,14126,846,2009,Downs Junior School,Rugby Road,,,Brighton,BN1 6ED,01273 558422,0,CY,"""7-11""",R,503,43,8.5%,61,12.1%,125,127,8,6.3%,19,15.0%,89%,43%,2%,86%,44%,2%,83%,28.9,28.3,28.5,27.9,28.9,82%,80%,83%,93%,91%,92%,56%,50%,50%,0%,0%,0%,100.2,94%,99.8,100.5,85%,94%,83%,93%,0,0,,5.0%,0.2%,1.8%,0
