RecType,AlphaInd,LACode,EstabCode,SchoolName,Address1,Address2,Address3,Town,PostCode,TelNum,FlagCont,FlagClosed,SchoolType,Specialisms,AdmPolicy,EntryGender,FeederSchool,FlagKS2,FlagKS5,AgeRange,FlagConf,TotPup,TotSENssap,PSENssap,TotSENsa,PSENsa,KS4TotPup,KS4TotSENssap,KS4PSENssap,KS4TotSENsa,KS4PSENsa,P5ACinclEM,P5AC,P2ACScience,PLev2EngMath,P5AG,PLev1EngMath,PAnyQual,PMFLLev2,PMFLLev1,AveTotPts,CVAMea,CVALConf,CVAUConf,CVACov,CVAAveQuals,PKS4Age15,PKS4AgeLT15,P5ACinclEM07,P5ACinclEM08,P5ACinclEM09,P5ACinclEM10,PAbsTot,PAbsUA,PAbsPA,FlagAbs,PProgEng,ProgEngCov,PProgMath,ProgMathCov,PEngBacc,PACEMGcse
1,3890,846,6009,Bellerbys College,1 Billinton Way,,,Brighton,BN1 4LF,01273 339200,0,0,IND,,,MIXED,,0,1,"""13-19""",,802,N/A,N/A,N/A,N/A,37,N/A,N/A,N/A,N/A,5%,5%,0%,8%,16%,8%,95%,8%,73%,130.1,NP,NP,NP,NP,NP,NA,NA,0%,0%,0%,5%,NOTREQ,NOTREQ,NOTREQ,0,NP,NP,NP,NP,0%,8%
1,5120,846,4067,Blatchington Mill School and Sixth Form College,Nevill Avenue,,,Hove,BN3 7BW,01273 736244,0,0,CY,"A,M&C,AL,LEPP",COMP,MIXED,,0,1,"""11-18""",,1777,153,8.6%,234,13.2%,332,21,6.3%,28,8.4%,65%,87%,77%,65%,98%,98%,99%,40%,49%,524.7,1015.1,1007.9,1022.4,94%,12.0,100%,0%,55%,64%,63%,65%,6.6%,1.4%,3.6%,0,78%,97%,72%,95%,14%,65%
1,6320,846,6905,Brighton Aldridge Community Academy,Lewes Road,,,Brighton,BN1 9PW,01273 691191,0,,AC,,COMP,MIXED,,0,1,"""11-19""",R,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTREQ,NOTREQ,NOTREQ,,,,,,,
1,6330,846,6014,Brighton and Hove High School,Montpelier Road,,,Brighton,BN1 3AT,01273 734112,0,0,IND,,,GIRLS,,0,1,"""2-19""",,659,N/A,N/A,N/A,N/A,65,N/A,N/A,N/A,N/A,0%,97%,0%,0%,100%,0%,100%,86%,92%,326.9,NP,NP,NP,NP,NP,NA,NA,96%,0%,0%,0%,NOTREQ,NOTREQ,NOTREQ,0,NP,NP,NP,NP,0%,0%
1,6340,846,6008,Brighton College,Eastern Road,,,Brighton,BN2 0AL,01273 704200,0,0,IND,,,MIXED,,0,1,"""10-19""",,836,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,99%,100%,91%,99%,100%,100%,100%,70%,70%,500.1,NP,NP,NP,NP,NP,NA,NA,41%,0%,99%,99%,NOTREQ,NOTREQ,NOTREQ,0,NP,NP,NP,NP,53%,99%
1,6360,846,6016,Brighton Steiner School Limited,Roedean Road,,,Brighton,BN2 5RA,01273 386300,0,0,IND,,,MIXED,,0,0,"""2-16""",R,165,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,LT11,LT11,LT11,LT11,LT11,LT11,LT11,LT11,LT11,LT11,NP,NP,NP,NP,NP,NA,NA,40%,42%,33%,LT11,NOTREQ,NOTREQ,NOTREQ,0,NP,NP,NP,NP,LT11,LT11
1,8000,846,4605,Cardinal Newman Catholic School,The Upper Drive,,,Hove,BN3 6ND,01273 558551,0,0,VA,H,COMP,MIXED,,0,1,"""11-18""",,2093,121,5.8%,203,9.7%,339,17,5.0%,27,8.0%,59%,81%,59%,61%,96%,98%,99%,50%,63%,465.3,1001.3,994.2,1008.4,96%,10.9,99%,0%,59%,55%,56%,59%,6.7%,1.7%,4.2%,1,78%,97%,70%,96%,32%,59%
1,13270,846,4016,Dorothy Stringer High School,Loder Road,,,Brighton,BN1 6PZ,01273 852222,0,0,CY,Sp,COMP,MIXED,,0,0,"""11-16""",,1654,76,4.6%,141,8.5%,341,18,5.3%,32,9.4%,63%,77%,46%,63%,95%,96%,100%,39%,49%,467.4,986.6,979.5,993.7,96%,11.3,98%,0%,63%,63%,66%,63%,7.5%,0.9%,6.0%,0,75%,97%,73%,96%,21%,63%
1,13560,846,6020,Drive Preparatory School,101 The Drive,,,Hove,BN3 6GE,01273 738444,0,0,IND,,,MIXED,,0,0,"""3-16""",,67,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,73%,73%,73%,73%,100%,100%,100%,36%,36%,392.1,NP,NP,NP,NP,NP,NA,NA,LT11,LT11,LT11,73%,NOTREQ,NOTREQ,NOTREQ,0,NP,NP,NP,NP,18%,73%
1,15250,846,4022,Falmer High School,Lewes Road,,,Brighton,BN1 9PW,01273 691191,0,1,CY,,COMP,MIXED,,0,0,"""11-16""",R,688,167,24.3%,224,32.6%,138,36,26.1%,51,37.0%,23%,59%,54%,37%,90%,94%,100%,7%,18%,385.0,1021.1,1010.2,1032.0,96%,10.8,99%,0%,24%,19%,25%,23%,9.5%,3.9%,7.3%,0,55%,91%,35%,81%,0%,23%
